Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,-1.0671296542597521,NA,NA,-0.9950682138375794,-0.47363179581218057
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,-1.0671296542597521,NA,NA,-1.1560737970131367,-0.47363179581218057
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,32,NA,-0.8577211228057634,-0.4240275223356405,-1.0590621494842505,-0.18844459036110228,1.5936833147196436,-1.0671296542597521,NA,NA,-0.9950682138375794,1.138255438384664
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,32,NA,-0.8577211228057634,-0.4240275223356405,-1.0590621494842505,-0.18844459036110228,1.5936833147196436,-1.0671296542597521,NA,NA,-1.1560737970131367,1.138255438384664
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,32,NA,-0.8577211228057634,-2.322879634019443,1.3366955259322582,2.0381007234439217,-1.8933502627865852,-1.0671296542597521,NA,NA,-0.9950682138375794,1.8098751193000158
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,32,NA,-0.8577211228057634,-2.322879634019443,1.3366955259322582,2.0381007234439217,-1.8933502627865852,-1.0671296542597521,NA,NA,-1.1560737970131367,1.8098751193000158
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,A,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,26,NA,-1.8245457152443543,-1.1360970642170665,-1.9574712777654413,0.0898735738645257,-0.14983347403347078,-1.0671296542597521,NA,NA,-1.1560737970131367,-1.010927540544462
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,A,18C,23,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,28,NA,-1.5022708510981573,-0.8987405502565912,-1.6580015683383778,-0.09567186895255962,-0.14983347403347078,-1.0671296542597521,NA,NA,-1.1560737970131367,-0.607955731995251
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,A,11C,48,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,28,NA,-1.5022708510981573,-0.8987405502565912,-1.6580015683383778,-0.09567186895255962,-0.14983347403347078,-1.0671296542597521,NA,NA,-0.9950682138375794,-0.607955731995251
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,-1.0671296542597521,NA,NA,-0.9950682138375794,0.33231182128624165
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,-1.0671296542597521,NA,NA,-1.1560737970131367,0.33231182128624165
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,-1.0671296542597521,NA,NA,-0.9950682138375794,0.8696075660185231
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,18C,23,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,-1.0671296542597521,NA,NA,-1.1560737970131367,0.8696075660185231
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,11C,48,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,-1.0671296542597521,NA,NA,-0.9950682138375794,0.8696075660185231
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,-1.0671296542597521,NA,NA,-0.9950682138375794,-0.7422796681783214
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,-1.0671296542597521,NA,NA,-1.1560737970131367,-0.7422796681783214
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,18C,23,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,-1.0671296542597521,NA,NA,-1.1560737970131367,1.0039315022015936
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,11C,48,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,-1.0671296542597521,NA,NA,-0.9950682138375794,1.0039315022015936
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-1.0671296542597521,NA,NA,-0.9950682138375794,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-1.0671296542597521,NA,NA,-1.1560737970131367,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,11C,3,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-1.0671296542597521,NA,NA,-0.9950682138375794,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,18C,28,1,#07: sugerir,88224,NA,NA,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-1.0671296542597521,NA,NA,-1.1560737970131367,-1.2795754129106027
